Case_ID;Event;Type;Order;Is_Chord
1;B4;eighth note;1;False
1;E5;eighth note;2;False
1;G5;eighth note;3;False
1;B4;eighth note;4;False
1;E5;eighth note;5;False
1;G5;eighth note;6;False
1;B4;eighth note;7;False
1;E5;eighth note;8;False
2;G5;eighth note;9;False
2;B4;eighth note;10;False
2;E5;eighth note;11;False
2;G5;eighth note;12;False
2;B4;eighth note;13;False
2;E5;eighth note;14;False
2;G5;quarter note;15;False
3;C5;eighth note;16;False
3;F#5;eighth note;17;False
3;A5;eighth note;18;False
3;C5;eighth note;19;False
3;F#5;eighth note;20;False
3;A5;eighth note;21;False
3;C5;eighth note;22;False
3;F#5;eighth note;23;False
4;A5;eighth note;24;False
4;C5;eighth note;25;False
4;F#5;eighth note;26;False
4;A5;eighth note;27;False
4;C5;eighth note;28;False
4;F#5;eighth note;29;False
4;A5;quarter note;30;False
5;D5;eighth note;31;False
5;G5;eighth note;32;False
5;B5;eighth note;33;False
5;D5;eighth note;34;False
5;G5;eighth note;35;False
5;B5;eighth note;36;False
5;D5;eighth note;37;False
5;G5;eighth note;38;False
6;B5;eighth note;39;False
6;D5;eighth note;40;False
6;G5;eighth note;41;False
6;B5;eighth note;42;False
6;D5;eighth note;43;False
6;G5;eighth note;44;False
6;B5;quarter note;45;False
7;B4;eighth note;46;False
7;E5;eighth note;47;False
7;G5;eighth note;48;False
7;B4;eighth note;49;False
7;E5;eighth note;50;False
7;G5;eighth note;51;False
7;A4;eighth note;52;False
7;D#5;eighth note;53;False
8;F#5;eighth note;54;False
8;A4;eighth note;55;False
8;D#5;eighth note;56;False
8;F#5;eighth note;57;False
8;G4;eighth note;58;False
8;D#5;eighth note;59;False
8;E5;quarter note;60;False
9;E3;half note;61;True
9;E4;half note;61;True
9;E3;dotted quarter note;62;True
9;E4;dotted quarter note;62;True
9;E3;quarter note;63;True
9;D4;quarter note;63;True
10;E3;eighth note;64;True
10;D4;eighth note;64;True
10;E3;quarter note;65;True
10;D4;quarter note;65;True
10;E3;eighth note;66;True
10;D4;eighth note;66;True
10;E3;eighth note;67;True
10;D4;eighth note;67;True
10;E3;eighth note;68;True
10;D4;eighth note;68;True
10;E3;eighth note;69;True
10;D4;eighth note;69;True
11;E3;half note;70;True
11;C4;half note;70;True
11;E3;dotted quarter note;71;True
11;C4;dotted quarter note;71;True
