Case_ID;Event;Type;Order;Is_Chord;Timestamp
1;C3;2 whole note;1;True;2020-01-14T00:00:00.000000
1;B3;2 whole note;1;True;2020-01-14T00:00:00.000000
1;E4;2 whole note;1;True;2020-01-14T00:00:00.000000
1;A4;2 whole note;1;True;2020-01-14T00:00:00.000000
2;B2;2 whole note;2;True;2020-01-14T00:00:04.000000
2;A3;2 whole note;2;True;2020-01-14T00:00:04.000000
2;D4;2 whole note;2;True;2020-01-14T00:00:04.000000
2;G4;2 whole note;2;True;2020-01-14T00:00:04.000000
3;A2;2 whole note;3;True;2020-01-14T00:00:08.000000
3;G3;2 whole note;3;True;2020-01-14T00:00:08.000000
3;C4;2 whole note;3;True;2020-01-14T00:00:08.000000
3;F#4;2 whole note;3;True;2020-01-14T00:00:08.000000
4;G2;2 whole note;4;True;2020-01-14T00:00:12.000000
4;F#3;2 whole note;4;True;2020-01-14T00:00:12.000000
4;B3;2 whole note;4;True;2020-01-14T00:00:12.000000
4;E4;2 whole note;4;True;2020-01-14T00:00:12.000000
5;C3;2 whole note;5;True;2020-01-14T00:00:16.000000
5;B3;2 whole note;5;True;2020-01-14T00:00:16.000000
5;E4;2 whole note;5;True;2020-01-14T00:00:16.000000
5;A4;2 whole note;5;True;2020-01-14T00:00:16.000000
6;B2;2 whole note;6;True;2020-01-14T00:00:20.000000
6;A3;2 whole note;6;True;2020-01-14T00:00:20.000000
6;D4;2 whole note;6;True;2020-01-14T00:00:20.000000
6;G4;2 whole note;6;True;2020-01-14T00:00:20.000000
7;A2;2 whole note;7;True;2020-01-14T00:00:24.000000
7;G3;2 whole note;7;True;2020-01-14T00:00:24.000000
7;C4;2 whole note;7;True;2020-01-14T00:00:24.000000
7;F#4;2 whole note;7;True;2020-01-14T00:00:24.000000
8;G2;2 whole note;8;True;2020-01-14T00:00:28.000000
8;F#3;2 whole note;8;True;2020-01-14T00:00:28.000000
8;B3;2 whole note;8;True;2020-01-14T00:00:28.000000
8;E4;2 whole note;8;True;2020-01-14T00:00:28.000000
9;C3;2 whole note;9;True;2020-01-14T00:00:32.000000
9;B3;2 whole note;9;True;2020-01-14T00:00:32.000000
9;E4;2 whole note;9;True;2020-01-14T00:00:32.000000
9;A4;2 whole note;9;True;2020-01-14T00:00:32.000000
10;B2;2 whole note;10;True;2020-01-14T00:00:36.000000
10;A3;2 whole note;10;True;2020-01-14T00:00:36.000000
10;D4;2 whole note;10;True;2020-01-14T00:00:36.000000
10;G4;2 whole note;10;True;2020-01-14T00:00:36.000000
11;A2;2 whole note;11;True;2020-01-14T00:00:40.000000
11;G3;2 whole note;11;True;2020-01-14T00:00:40.000000
11;C4;2 whole note;11;True;2020-01-14T00:00:40.000000
11;F#4;2 whole note;11;True;2020-01-14T00:00:40.000000
12;G2;2 whole note;12;True;2020-01-14T00:00:44.000000
12;F#3;2 whole note;12;True;2020-01-14T00:00:44.000000
12;B3;2 whole note;12;True;2020-01-14T00:00:44.000000
12;E4;2 whole note;12;True;2020-01-14T00:00:44.000000
13;C3;2 whole note;13;True;2020-01-14T00:00:48.000000
13;B3;2 whole note;13;True;2020-01-14T00:00:48.000000
13;E4;2 whole note;13;True;2020-01-14T00:00:48.000000
13;A4;2 whole note;13;True;2020-01-14T00:00:48.000000
14;B2;2 whole note;14;True;2020-01-14T00:00:52.000000
14;A3;2 whole note;14;True;2020-01-14T00:00:52.000000
14;D4;2 whole note;14;True;2020-01-14T00:00:52.000000
14;G4;2 whole note;14;True;2020-01-14T00:00:52.000000
15;A2;2 whole note;15;True;2020-01-14T00:00:56.000000
15;G3;2 whole note;15;True;2020-01-14T00:00:56.000000
15;C4;2 whole note;15;True;2020-01-14T00:00:56.000000
15;F#4;2 whole note;15;True;2020-01-14T00:00:56.000000
16;G2;2 whole note;16;True;2020-01-14T00:01:00.000000
16;F#3;2 whole note;16;True;2020-01-14T00:01:00.000000
16;B3;2 whole note;16;True;2020-01-14T00:01:00.000000
16;E4;2 whole note;16;True;2020-01-14T00:01:00.000000
17;C3;2 whole note;17;True;2020-01-14T00:01:04.000000
17;B3;2 whole note;17;True;2020-01-14T00:01:04.000000
17;E4;2 whole note;17;True;2020-01-14T00:01:04.000000
17;A4;2 whole note;17;True;2020-01-14T00:01:04.000000
18;B2;2 whole note;18;True;2020-01-14T00:01:08.000000
18;A3;2 whole note;18;True;2020-01-14T00:01:08.000000
18;D4;2 whole note;18;True;2020-01-14T00:01:08.000000
18;G4;2 whole note;18;True;2020-01-14T00:01:08.000000
19;A2;2 whole note;19;True;2020-01-14T00:01:12.000000
19;G3;2 whole note;19;True;2020-01-14T00:01:12.000000
19;C4;2 whole note;19;True;2020-01-14T00:01:12.000000
19;F#4;2 whole note;19;True;2020-01-14T00:01:12.000000
20;G2;2 whole note;20;True;2020-01-14T00:01:16.000000
20;F#3;2 whole note;20;True;2020-01-14T00:01:16.000000
20;B3;2 whole note;20;True;2020-01-14T00:01:16.000000
20;E4;2 whole note;20;True;2020-01-14T00:01:16.000000
