Case_ID;Event;Type;Order;Is_Chord
1;Pause;whole note;1;False
2;Pause;whole note;2;False
3;Pause;whole note;3;False
4;Pause;whole note;4;False
5;Pause;whole note;5;False
6;Pause;whole note;6;False
7;Pause;whole note;7;False
8;Pause;whole note;8;False
9;Pause;whole note;9;False
10;Pause;whole note;10;False
11;Pause;whole note;11;False
12;Pause;whole note;12;False
13;Pause;whole note;13;False
14;Pause;whole note;14;False
15;Pause;whole note;15;False
16;Pause;whole note;16;False
17;Pause;whole note;17;False
18;Pause;whole note;18;False
19;Pause;whole note;19;False
20;Pause;whole note;20;False
21;Pause;whole note;21;False
22;Pause;whole note;22;False
23;Pause;whole note;23;False
24;E5;dotted quarter note;24;False
24;D5;dotted quarter note;25;False
24;C5;quarter note;26;False
25;B4;whole note;27;False
26;Pause;whole note;28;False
27;Pause;whole note;29;False
28;Pause;whole note;30;False
29;Pause;whole note;31;False
30;Pause;whole note;32;False
31;Pause;whole note;33;False
32;E5;dotted quarter note;34;False
32;D5;dotted quarter note;35;False
32;C5;quarter note;36;False
33;B4;whole note;37;False
34;Pause;whole note;38;False
35;Pause;whole note;39;False
36;Pause;whole note;40;False
37;Pause;whole note;41;False
38;Pause;whole note;42;False
39;Pause;whole note;43;False
40;E5;dotted quarter note;44;False
40;D5;dotted quarter note;45;False
40;C5;quarter note;46;False
41;B4;whole note;47;False
